day,shift,preference,requirements,assigned,singleWorkerFitness
25,1,1,7,1,580
25,1,1,7,1,610
25,2,1,10,1,620
25,2,1,10,1,630
25,2,0,10,1,550
25,2,0,10,1,520
25,2,0,10,1,600
25,2,1,10,0,560
25,2,1,10,1,660
25,2,1,10,1,490
25,2,0,10,1,590
25,2,1,10,1,580
25,2,1,10,1,610
25,3,1,10,1,620
25,3,0,10,1,630
25,3,0,10,1,550
25,3,1,10,1,520
25,3,1,10,0,600
25,3,1,10,1,560
25,3,1,10,1,660
25,3,1,10,1,490
25,3,1,10,1,590
25,3,1,10,1,580
25,3,0,10,1,610
26,1,1,5,1,620
26,1,0,5,0,630
26,1,1,5,0,550
26,1,1,5,0,520
26,1,1,5,0,600
26,1,0,5,1,560
26,1,1,5,1,660
26,1,1,5,1,490
26,1,0,5,0,590
26,1,1,5,1,580
26,1,0,5,0,610
26,2,0,8,1,620
26,2,0,8,1,630
26,2,1,8,1,550
26,2,0,8,1,520
26,2,0,8,0,600
26,2,0,8,0,560
26,2,1,8,1,660
26,2,1,8,1,490
26,2,0,8,1,590
26,2,0,8,0,580
26,2,1,8,1,610
26,3,1,5,1,620
26,3,0,5,0,630
26,3,0,5,0,550
26,3,1,5,0,520
26,3,1,5,1,600
26,3,0,5,0,560
26,3,0,5,0,660
26,3,1,5,1,490
26,3,0,5,0,590
26,3,0,5,1,580
26,3,0,5,0,610
27,1,1,5,1,620
27,1,1,5,0,630
27,1,0,5,1,550
27,1,1,5,1,520
27,1,0,5,0,600
27,1,1,5,0,560
27,1,1,5,1,660
27,1,0,5,0,490
27,1,1,5,1,590
27,1,0,5,0,580
27,1,0,5,0,610
27,2,0,7,0,620
27,2,1,7,0,630
27,2,0,7,0,550
27,2,0,7,0,520
27,2,1,7,1,600
27,2,1,7,1,560
27,2,0,7,1,660
27,2,1,7,1,490
27,2,1,7,1,590
27,2,1,7,1,580
27,2,0,7,1,610
27,3,0,8,1,620
27,3,1,8,1,630
27,3,1,8,1,550
27,3,0,8,1,520
27,3,0,8,0,600
27,3,1,8,1,560
27,3,0,8,0,660
27,3,1,8,1,490
27,3,1,8,0,590
27,3,1,8,1,580
27,3,0,8,1,610
28,1,0,10,0,620
28,1,0,10,1,630
28,1,1,10,1,550
28,1,1,10,1,520
28,1,0,10,1,600
28,1,1,10,1,560
28,1,1,10,1,660
28,1,1,10,1,490
28,1,1,10,1,590
28,1,0,10,1,580
28,1,1,10,1,610
28,2,1,7,0,620
28,2,0,7,0,630
28,2,0,7,1,550
28,2,1,7,1,520
28,2,1,7,0,600
28,2,0,7,0,560
28,2,1,7,1,660
28,2,1,7,1,490
28,2,1,7,1,590
28,2,1,7,1,580
28,2,1,7,1,610
28,3,1,5,1,620
28,3,0,5,0,630
28,3,1,5,0,550
28,3,1,5,1,520
28,3,0,5,0,600
28,3,0,5,1,560
28,3,1,5,0,660
28,3,1,5,0,490
28,3,0,5,1,590
28,3,1,5,0,580
28,3,1,5,1,610
29,1,0,5,0,620
29,1,0,5,0,630
29,1,1,5,1,550
29,1,0,5,0,520
29,1,0,5,0,600
29,1,1,5,1,560
29,1,0,5,0,660
29,1,0,5,1,490
29,1,1,5,1,590
29,1,1,5,1,580
29,1,0,5,0,610
29,2,1,8,0,620
29,2,1,8,1,630
29,2,0,8,1,550
29,2,0,8,1,520
29,2,1,8,1,600
29,2,1,8,1,560
29,2,0,8,0,660
29,2,0,8,1,490
29,2,0,8,1,590
29,2,0,8,0,580
29,2,0,8,0,610
29,3,1,9,1,620
29,3,0,9,1,630
29,3,0,9,1,550
29,3,0,9,0,520
29,3,1,9,0,600
29,3,0,9,1,560
29,3,0,9,1,660
29,3,1,9,1,490
29,3,1,9,1,590
29,3,0,9,1,580
29,3,1,9,1,610
30,1,1,10,1,620
30,1,0,10,1,630
30,1,1,10,1,550
30,1,1,10,0,520
30,1,1,10,1,600
30,1,1,10,1,560
30,1,1,10,1,660
30,1,1,10,1,490
30,1,1,10,1,590
30,1,1,10,1,580
30,1,0,10,1,610
30,2,1,7,1,620
30,2,0,7,1,630
30,2,1,7,0,550
30,2,1,7,0,520
30,2,1,7,1,600
30,2,0,7,1,560
30,2,1,7,1,660
30,2,1,7,0,490
30,2,1,7,1,590
30,2,0,7,0,580
30,2,1,7,1,610
30,3,0,7,0,620
30,3,0,7,1,630
30,3,1,7,1,550
30,3,1,7,0,520
30,3,0,7,0,600
30,3,0,7,1,560
30,3,1,7,1,660
30,3,0,7,1,490
30,3,1,7,1,590
30,3,1,7,1,580
30,3,0,7,0,610
