id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,finalFitnness
509,16,2,4,0,7,0,540,1250,5100
510,16,2,5,1,7,1,500,1250,5100
511,16,2,6,0,7,0,550,1250,5100
512,16,2,7,0,7,1,580,1250,5100
513,16,2,8,1,7,1,660,1250,5100
514,16,2,9,0,7,1,620,1250,5100
515,16,2,10,0,7,0,510,1250,5100
516,16,2,11,1,7,1,570,1250,5100
517,16,3,1,0,5,1,590,1250,5100
518,16,3,2,0,5,0,680,1250,5100
519,16,3,3,0,5,0,550,1250,5100
520,16,3,4,0,5,0,540,1250,5100
521,16,3,5,0,5,0,500,1250,5100
522,16,3,6,0,5,1,550,1250,5100
523,16,3,7,1,5,1,580,1250,5100
524,16,3,8,0,5,0,660,1250,5100
525,16,3,9,0,5,1,620,1250,5100
526,16,3,10,0,5,0,510,1250,5100
527,16,3,11,1,5,1,570,1250,5100
528,17,1,1,1,7,1,590,1250,5100
529,17,1,2,0,7,0,680,1250,5100
530,17,1,3,0,7,1,550,1250,5100
531,17,1,4,0,7,0,540,1250,5100
532,17,1,5,0,7,1,500,1250,5100
533,17,1,6,0,7,0,550,1250,5100
534,17,1,7,0,7,1,580,1250,5100
535,17,1,8,0,7,0,660,1250,5100
536,17,1,9,1,7,1,620,1250,5100
537,17,1,10,0,7,1,510,1250,5100
538,17,1,11,1,7,1,570,1250,5100
539,17,2,1,1,9,1,590,1250,5100
540,17,2,2,1,9,1,680,1250,5100
541,17,2,3,1,9,1,550,1250,5100
542,17,2,4,1,9,1,540,1250,5100
543,17,2,5,0,9,0,500,1250,5100
544,17,2,6,1,9,1,550,1250,5100
545,17,2,7,1,9,1,580,1250,5100
546,17,2,8,0,9,1,660,1250,5100
547,17,2,9,0,9,0,620,1250,5100
548,17,2,10,1,9,1,510,1250,5100
549,17,2,11,1,9,1,570,1250,5100
550,17,3,1,1,8,1,590,1250,5100
551,17,3,2,1,8,0,680,1250,5100
552,17,3,3,0,8,1,550,1250,5100
553,17,3,4,1,8,1,540,1250,5100
554,17,3,5,0,8,1,500,1250,5100
555,17,3,6,1,8,1,550,1250,5100
556,17,3,7,1,8,1,580,1250,5100
557,17,3,8,0,8,0,660,1250,5100
558,17,3,9,0,8,0,620,1250,5100
559,17,3,10,0,8,1,510,1250,5100
560,17,3,11,0,8,0,570,1250,5100
561,18,1,1,0,8,0,590,1250,5100
562,18,1,2,1,8,1,680,1250,5100
563,18,1,3,0,8,1,550,1250,5100
564,18,1,4,0,8,0,540,1250,5100
565,18,1,5,1,8,1,500,1250,5100
566,18,1,6,1,8,0,550,1250,5100
567,18,1,7,0,8,1,580,1250,5100
568,18,1,8,0,8,1,660,1250,5100
569,18,1,9,0,8,0,620,1250,5100
570,18,1,10,0,8,1,510,1250,5100
571,18,1,11,1,8,1,570,1250,5100
572,18,2,1,1,8,1,590,1250,5100
573,18,2,2,0,8,1,680,1250,5100
574,18,2,3,0,8,0,550,1250,5100
575,18,2,4,1,8,1,540,1250,5100
576,18,2,5,0,8,0,500,1250,5100
577,18,2,6,1,8,1,550,1250,5100
578,18,2,7,0,8,0,580,1250,5100
579,18,2,8,0,8,0,660,1250,5100
580,18,2,9,0,8,1,620,1250,5100
581,18,2,10,1,8,1,510,1250,5100
582,18,2,11,0,8,1,570,1250,5100
583,18,3,1,0,6,0,590,1250,5100
584,18,3,2,0,6,1,680,1250,5100
585,18,3,3,1,6,1,550,1250,5100
586,18,3,4,1,6,0,540,1250,5100
587,18,3,5,0,6,0,500,1250,5100
588,18,3,6,1,6,0,550,1250,5100
589,18,3,7,0,6,1,580,1250,5100
590,18,3,8,1,6,1,660,1250,5100
591,18,3,9,1,6,1,620,1250,5100
592,18,3,10,1,6,1,510,1250,5100
593,18,3,11,0,6,0,570,1250,5100
594,19,1,1,0,7,1,590,1250,5100
595,19,1,2,1,7,1,680,1250,5100
596,19,1,3,1,7,0,550,1250,5100
597,19,1,4,1,7,1,540,1250,5100
598,19,1,5,1,7,1,500,1250,5100
599,19,1,6,1,7,0,550,1250,5100
600,19,1,7,0,7,0,580,1250,5100
601,19,1,8,1,7,1,660,1250,5100
602,19,1,9,1,7,0,620,1250,5100
603,19,1,10,1,7,1,510,1250,5100
604,19,1,11,1,7,1,570,1250,5100
605,19,2,1,0,8,0,590,1250,5100
606,19,2,2,1,8,1,680,1250,5100
607,19,2,3,1,8,1,550,1250,5100
608,19,2,4,1,8,0,540,1250,5100
609,19,2,5,1,8,1,500,1250,5100
610,19,2,6,0,8,1,550,1250,5100
611,19,2,7,1,8,1,580,1250,5100
612,19,2,8,1,8,0,660,1250,5100
613,19,2,9,1,8,1,620,1250,5100
614,19,2,10,1,8,1,510,1250,5100
615,19,2,11,1,8,1,570,1250,5100
616,19,3,1,0,6,0,590,1250,5100
617,19,3,2,0,6,1,680,1250,5100
618,19,3,3,0,6,1,550,1250,5100
619,19,3,4,0,6,1,540,1250,5100
620,19,3,5,0,6,1,500,1250,5100
621,19,3,6,0,6,0,550,1250,5100
622,19,3,7,0,6,0,580,1250,5100
623,19,3,8,1,6,1,660,1250,5100
624,19,3,9,0,6,1,620,1250,5100
625,19,3,10,0,6,0,510,1250,5100
626,19,3,11,1,6,0,570,1250,5100
