id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,sumFitnness
413,13,2,7,1,8,1,650,800,5140
414,13,2,8,1,8,0,500,800,5140
415,13,2,9,1,8,0,490,800,5140
416,13,2,10,1,8,0,500,800,5140
417,13,2,11,1,8,1,480,800,5140
418,13,3,1,0,9,0,500,800,5140
419,13,3,2,0,9,1,540,800,5140
420,13,3,3,1,9,1,540,800,5140
421,13,3,4,0,9,1,600,800,5140
422,13,3,5,0,9,1,570,800,5140
423,13,3,6,1,9,1,570,800,5140
424,13,3,7,0,9,1,650,800,5140
425,13,3,8,1,9,1,500,800,5140
426,13,3,9,1,9,1,490,800,5140
427,13,3,10,0,9,1,500,800,5140
428,13,3,11,0,9,0,480,800,5140
429,14,1,1,0,10,1,500,800,5140
430,14,1,2,1,10,1,540,800,5140
431,14,1,3,0,10,1,540,800,5140
432,14,1,4,0,10,0,600,800,5140
433,14,1,5,1,10,1,570,800,5140
434,14,1,6,0,10,1,570,800,5140
435,14,1,7,0,10,0,650,800,5140
436,14,1,8,0,10,1,500,800,5140
437,14,1,9,0,10,1,490,800,5140
438,14,1,10,1,10,1,500,800,5140
439,14,1,11,0,10,1,480,800,5140
440,14,2,1,1,6,1,500,800,5140
441,14,2,2,1,6,0,540,800,5140
442,14,2,3,0,6,0,540,800,5140
443,14,2,4,1,6,1,600,800,5140
444,14,2,5,0,6,0,570,800,5140
445,14,2,6,1,6,0,570,800,5140
446,14,2,7,1,6,1,650,800,5140
447,14,2,8,1,6,1,500,800,5140
448,14,2,9,1,6,1,490,800,5140
449,14,2,10,1,6,1,500,800,5140
450,14,2,11,0,6,0,480,800,5140
451,14,3,1,0,9,1,500,800,5140
452,14,3,2,0,9,1,540,800,5140
453,14,3,3,0,9,1,540,800,5140
454,14,3,4,0,9,0,600,800,5140
455,14,3,5,1,9,1,570,800,5140
456,14,3,6,1,9,0,570,800,5140
457,14,3,7,0,9,1,650,800,5140
458,14,3,8,0,9,1,500,800,5140
459,14,3,9,1,9,1,490,800,5140
460,14,3,10,1,9,1,500,800,5140
461,14,3,11,0,9,1,480,800,5140
462,15,1,1,0,6,0,500,800,5140
463,15,1,2,0,6,0,540,800,5140
464,15,1,3,1,6,1,540,800,5140
465,15,1,4,1,6,1,600,800,5140
